,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Open,High,Low,Close,Volume,Close time
0,0.0,0.0,0.0,1.0,1.1053,0.9913,0.999,693874.57,2020-12-06 23:59:59.999
1,1.0,1.0,1.0,0.999,1.8313,0.9814,1.0056,1463610.5,2020-12-13 23:59:59.999
2,2.0,2.0,2.0,1.0116,1.0376,1.003,1.0075,645000.97,2020-12-20 23:59:59.999
3,3.0,3.0,3.0,1.0075,1.0168,1.0015,1.0045,872968.98,2020-12-27 23:59:59.999
4,4.0,4.0,4.0,1.0067,1.0833,1.0,1.0131,931273.24,2021-01-03 23:59:59.999
5,5.0,5.0,5.0,1.0165,1.0288,0.8573,1.0024,2177951.71,2021-01-10 23:59:59.999
6,6.0,6.0,6.0,1.0024,2.6144,0.9577,1.0018,6406525.25,2021-01-17 23:59:59.999
7,7.0,7.0,7.0,1.0014,1.0722,0.996,1.0075,1551616.22,2021-01-24 23:59:59.999
8,8.0,8.0,8.0,1.008,1.1,1.0021,1.0081,2567536.01,2021-01-31 23:59:59.999
9,9.0,9.0,9.0,1.0081,1.0255,1.0004,1.0172,3088566.07,2021-02-07 23:59:59.999
10,10.0,10.0,10.0,1.018,1.0213,0.9863,1.0056,3868825.43,2021-02-14 23:59:59.999
11,11.0,11.0,11.0,1.0083,1.0355,1.005,1.0055,2856959.62,2021-02-21 23:59:59.999
12,12.0,12.0,12.0,1.0056,1.0316,0.9869,1.0078,4885860.76,2021-02-28 23:59:59.999
13,13.0,13.0,13.0,1.0079,1.02,1.0,1.0074,1750126.88,2021-03-07 23:59:59.999
14,14.0,14.0,14.0,1.0081,1.0625,0.9952,1.0066,3232345.97,2021-03-14 23:59:59.999
15,15.0,15.0,15.0,1.0066,1.0128,0.994,1.0062,2170058.32,2021-03-21 23:59:59.999
16,16.0,16.0,16.0,1.0062,1.02,1.0,1.0124,3332281.12,2021-03-28 23:59:59.999
17,17.0,17.0,17.0,1.0127,1.1837,0.99,1.0119,9599659.95,2021-04-04 23:59:59.999
18,18.0,18.0,18.0,1.0117,1.0289,1.0035,1.0067,5645613.78,2021-04-11 23:59:59.999
19,19.0,19.0,19.0,1.0086,1.0197,1.001,1.0109,6445499.74,2021-04-18 23:59:59.999
20,20.0,20.0,20.0,1.0109,1.0479,1.0051,1.0217,8072918.64,2021-04-25 23:59:59.999
21,21.0,21.0,21.0,1.0219,1.036,1.0108,1.0146,3913107.05,2021-05-02 23:59:59.999
22,22.0,22.0,22.0,1.0135,1.044,1.009,1.0276,4027622.77,2021-05-09 23:59:59.999
23,23.0,23.0,23.0,1.0274,1.0361,1.0123,1.02,6702729.73,2021-05-16 23:59:59.999
24,24.0,24.0,24.0,1.02,1.1268,0.9908,0.9986,20300414.23,2021-05-23 23:59:59.999
25,25.0,25.0,25.0,1.0,1.01,0.9951,1.0056,4579417.56,2021-05-30 23:59:59.999
26,26.0,26.0,26.0,1.0056,1.009,0.9982,1.0086,1944263.0,2021-06-06 23:59:59.999
27,27.0,27.0,27.0,1.0084,1.0088,0.9955,1.0055,2043851.88,2021-06-13 23:59:59.999
28,28.0,28.0,28.0,1.0055,1.0172,1.0004,1.0011,1736061.87,2021-06-20 23:59:59.999
29,29.0,29.0,29.0,1.0011,1.0242,0.9965,1.0155,3099470.09,2021-06-27 23:59:59.999
30,30.0,30.0,30.0,1.0155,1.0209,1.0049,1.0056,1694802.53,2021-07-04 23:59:59.999
31,31.0,31.0,31.0,1.0055,1.0141,1.0015,1.011,1032443.55,2021-07-11 23:59:59.999
32,32.0,32.0,32.0,1.0115,1.0116,0.9996,1.0031,690316.15,2021-07-18 23:59:59.999
33,33.0,33.0,33.0,1.0032,1.0096,0.9999,1.0057,1363360.77,2021-07-25 23:59:59.999
34,34.0,34.0,34.0,1.0057,1.012,1.0034,1.0069,702608.84,2021-08-01 23:59:59.999
35,35.0,35.0,35.0,1.0077,1.0086,1.0005,1.0005,1013027.06,2021-08-08 23:59:59.999
36,36.0,36.0,36.0,1.0005,1.007,0.9899,0.9982,1722790.92,2021-08-15 23:59:59.999
37,37.0,37.0,37.0,0.9983,1.0024,0.9943,1.0003,1307408.56,2021-08-22 23:59:59.999
38,38.0,38.0,38.0,1.0003,1.0006,0.984,0.993,990684.95,2021-08-29 23:59:59.999
39,39.0,39.0,39.0,0.993,0.999,0.992,0.996,911286.2,2021-09-05 23:59:59.999
40,40.0,40.0,40.0,0.997,1.001,0.979,0.999,2075096.2,2021-09-12 23:59:59.999
41,41.0,41.0,41.0,0.999,1.0188,0.989,0.997,2591300.75,2021-09-19 23:59:59.999
42,42.0,42.0,42.0,0.997,1.0188,0.992,1.01,2206321.6,2021-09-26 23:59:59.999
43,43.0,43.0,43.0,1.01,1.0335,0.986,0.996,2167505.8,2021-10-03 23:59:59.999
44,44.0,44.0,44.0,0.996,1.015,0.99,0.999,997464.7,2021-10-10 23:59:59.999
45,45.0,45.0,45.0,0.997,1.01,0.993,1.001,659822.1,2021-10-17 23:59:59.999
46,46.0,46.0,46.0,1.001,1.007,0.998,1.003,764063.0,2021-10-24 23:59:59.999
47,47.0,47.0,47.0,1.002,1.009,0.991,0.994,1903373.2,2021-10-31 23:59:59.999
48,48.0,48.0,48.0,0.994,1.01,0.977,0.991,1368454.6,2021-11-07 23:59:59.999
49,49.0,49.0,49.0,0.99,1.003,0.989,1.003,915585.8,2021-11-14 23:59:59.999
50,50.0,50.0,50.0,1.003,1.009,0.983,1.007,1263353.7,2021-11-21 23:59:59.999
51,51.0,51.0,51.0,1.008,1.017,0.994,0.999,639752.3,2021-11-28 23:59:59.999
52,52.0,52.0,52.0,0.999,1.019,0.993,0.995,890275.9,2021-12-05 23:59:59.999
53,53.0,53.0,53.0,0.996,1.004,0.991,0.996,624872.4,2021-12-12 23:59:59.999
54,54.0,54.0,54.0,0.998,1.028,0.989,0.997,986111.4,2021-12-19 23:59:59.999
55,55.0,55.0,55.0,0.996,1.015,0.992,1.002,587666.4,2021-12-26 23:59:59.999
56,56.0,56.0,56.0,1.002,1.002,0.991,0.997,493241.1,2022-01-02 23:59:59.999
57,57.0,57.0,57.0,0.997,1.015,0.996,1.001,717258.3,2022-01-09 23:59:59.999
58,58.0,58.0,58.0,1.001,4.721,0.995,1.005,3879195.8,2022-01-16 23:59:59.999
59,59.0,59.0,59.0,1.006,1.015,0.994,0.997,1298504.9,2022-01-23 23:59:59.999
60,60.0,60.0,60.0,0.997,1.007,0.994,1.002,736868.7,2022-01-30 23:59:59.999
61,61.0,61.0,61.0,1.002,1.005,0.998,1.004,193255.9,2022-02-06 23:59:59.999
62,62.0,62.0,62.0,1.004,1.005,0.99,1.0,782430.9,2022-02-13 23:59:59.999
63,63.0,63.0,63.0,1.001,1.001,0.995,0.999,923475.2,2022-02-20 23:59:59.999
64,64.0,64.0,64.0,0.998,1.002,0.996,1.0,224343.0,2022-02-27 23:59:59.999
65,65.0,65.0,65.0,1.0,1.0,0.992,0.997,438393.2,2022-03-06 23:59:59.999
66,66.0,66.0,66.0,0.997,1.016,0.994,0.999,2029445.7,2022-03-13 23:59:59.999
67,67.0,67.0,67.0,0.999,1.0,0.994,0.997,239398.1,2022-03-20 23:59:59.999
68,68.0,68.0,68.0,0.995,1.041,0.994,0.997,15363123.3,2022-03-27 23:59:59.999
69,69.0,69.0,69.0,0.997,1.006,0.997,1.001,374353.6,2022-04-03 23:59:59.999
70,70.0,70.0,70.0,0.999,1.001,0.991,0.995,852679.1,2022-04-10 23:59:59.999
